source_file,section,instance,family,family_group,P,radiusCoeff,alpha,beta,feasible,metric,value
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.9,0.6,True,computation_time,4.66
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.9,0.6,True,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.9,0.6,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.9,0.6,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,1.5,0.9,0.6,True,total_distance,297.6147876145245
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,2.0,0.5,0.6,True,computation_time,1.62
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,2.0,0.5,0.6,True,n_coarsened,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,2.0,0.5,0.6,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,2.0,0.5,0.6,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,2.0,0.5,0.6,True,total_distance,191.23298176125226
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.7,0.4,True,computation_time,2.05
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.7,0.4,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.7,0.4,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.7,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.7,0.4,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,3.0,0.9,0.4,False,computation_time,4.8
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,3.0,0.9,0.4,False,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,3.0,0.9,0.4,False,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,3.0,0.9,0.4,False,time_window_violations,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.8,3.0,0.9,0.4,False,total_distance,240.82556285622252
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,1.0,0.8,True,computation_time,3.23
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,1.0,0.8,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,1.0,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,1.0,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,1.0,0.8,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,1.0,True,computation_time,8.79
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,1.0,True,n_coarsened,8.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,1.0,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,1.0,True,total_distance,246.382553863279
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.9,1.0,True,computation_time,2.04
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.9,1.0,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.9,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.9,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.9,1.0,True,total_distance,229.2899618089964
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,0.9,0.4,True,computation_time,2.05
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,0.9,0.4,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,0.9,0.4,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,0.9,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,2.0,0.9,0.4,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,0.5,0.7,0.4,True,computation_time,8.92
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,0.5,0.7,0.4,True,n_coarsened,8.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,0.5,0.7,0.4,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,0.5,0.7,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,0.5,0.7,0.4,True,total_distance,286.4795282845267
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.5,0.2,True,computation_time,3.24
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.5,0.2,True,n_coarsened,5.0
