source_file,instance,family,family_group,scale,method,solver,configuration,metric,value
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C109,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,663.0541860536497
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.186862333037425
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,3.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_distance,212.85664691295457
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,7263.108523165527
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,5700.251876252574
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.1944964170106687
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,5.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,323.05025924059174
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,10401.212588048373
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C201,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,8728.16232880778
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.2063225409947336
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_distance,344.51414608243
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,8696.438162844128
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,7001.924016761697
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.210637249983847
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,3.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,291.60676222964577
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,5766.2086577712
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C202,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,4124.601895541553
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.193241916014813
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_distance,282.50952098612385
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,10083.286822652502
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,8450.77730166638
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.190463666978758
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,301.04075309319376
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,9240.576856404054
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C203,C,C2,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,7589.536103310862
result_only_coarsened_quantum.json,C204,C,C2,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
